source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
1424721741065764608,244.77272535452292,51.75876600536665,32.07948927552631,3276.8306,9.381562,17176882,0.95922846,4269.3857,4.5056,0.17097059,,0.7294449
1440964624481230464,264.98183000127415,65.00211100930424,36.67793685519853,2237.6716,8.124461,1260917131,0.9539294,4962.006,4.5225,0.33865657,0.7826615,0.787443
1450765911648481920,209.8943258387556,26.590931486301876,42.02427920335218,1372.5032,14.593469,575281096,1.16161,2971.2,5.1129,0.0022384115,,0.1784938
1473443510771118464,202.0968323410989,35.75676614936425,36.27424465282561,1503.7855,14.136553,1268339353,1.3931986,3092.1655,5.0526,0.003916437,,0.21807452
1486775776452162432,220.6643221822792,37.637097509921816,27.830476389067076,1184.3977,14.907388,514267581,1.0612308,3070.1172,5.0715,0.0033282866,,0.20388559
1487609618582803712,217.28969539100083,38.27657558666408,26.47332350103957,2064.4058,8.909039,535471149,0.96148956,4866.8853,4.5344,0.3212807,0.78677267,0.7972081
1489921925896168704,219.6382963751506,41.55637610079576,26.516364794051853,1209.297,14.871672,1713735116,1.0845238,3111.5354,5.0763,0.0035311729,,0.20449649
1538806041067506432,184.937134592615,45.561388762966345,29.30832765215952,1551.7981,13.797021,269427838,1.2551085,3022.7036,4.414,0.0077800853,,0.32159954
1552488776081383168,204.00790300568823,48.47956219912167,27.18889948847819,1101.8976,14.872448,292814826,1.1832694,3121.3438,5.0875,0.0032674926,,0.19542111
1580311917821099776,192.1995442690565,61.378831839417046,25.410569433303376,1746.1742,7.2035236,528317389,0.968557,5728.4966,4.2887,1.5029826,0.96981895,1.2446336
1605198298364601088,218.36887175001752,52.9098929455557,75.56887569382528,5014.8037,6.918849,394340,0.9579763,4666.703,4.5354,0.261601,0.74485373,0.78241444
1613399864833514368,227.08640628510167,58.53278996186313,25.72612615936391,1342.6301,14.805222,1254237938,1.1709615,3087.0127,5.0349,0.004296206,,0.22917986
1618351446729597952,218.5931819251921,60.7321101775444,38.14704959343529,2205.7156,12.585664,312633936,1.3723938,3159.5688,4.335,0.010135369,,0.31692687
